2026-07-28 14:05:17,235 | INFO    | main         | متصل شد به @lfc_test_1_bot | حالت انتشار: manual
2026-07-28 14:05:17,235 | INFO    | main         | ترجمه: Liverpool are working on Bradley Barcola deal
2026-07-28 14:05:24,830 | ERROR   | telegram     | telegram sendPhoto failed: {'ok': False, 'error_code': 400, 'description': 'Bad Request: failed to get HTTP URL content'}
2026-07-28 14:05:24,929 | ERROR   | telegram     | telegram sendPhoto failed: {'ok': False, 'error_code': 400, 'description': 'Bad Request: object expected as reply markup'}
2026-07-28 14:05:25,083 | INFO    | main         | → در گروه قرار گرفت: Liverpool are working on Bradley Barcola deal
2026-07-28 14:05:26,084 | INFO    | main         | ترجمه: Arne Slot provides injury update ahead of Premier League opener
2026-07-28 14:05:33,687 | INFO    | main         | → در گروه قرار گرفت: Arne Slot provides injury update ahead of Premier League opener
2026-07-28 14:05:34,695 | INFO    | main         | خبرهای نمونه ارسال شدند. برای تست دکمه‌ها ربات را با python main.py روشن نگه دار.
2026-07-28 14:19:05,952 | INFO    | main         | متصل شد به @lfc_test_1_bot | حالت انتشار: manual
2026-07-28 14:19:05,974 | INFO    | main         | ترجمه: Liverpool are working on Bradley Barcola deal
2026-07-28 14:19:17,505 | ERROR   | telegram     | telegram sendPhoto failed: {'ok': False, 'error_code': 400, 'description': 'Bad Request: wrong type of the web page content'}
2026-07-28 14:19:17,603 | ERROR   | telegram     | telegram sendPhoto failed: {'ok': False, 'error_code': 400, 'description': 'Bad Request: object expected as reply markup'}
2026-07-28 14:19:17,857 | ERROR   | telegram     | telegram sendMessage failed: {'ok': False, 'error_code': 400, 'description': 'Bad Request: object expected as reply markup'}
2026-07-28 14:19:17,858 | INFO    | main         | → در گروه قرار گرفت: Liverpool are working on Bradley Barcola deal
2026-07-28 14:19:18,859 | INFO    | main         | ترجمه: Arne Slot provides injury update ahead of Premier League opener
2026-07-28 14:19:33,808 | ERROR   | telegram     | telegram sendMessage failed: {'ok': False, 'error_code': 400, 'description': 'Bad Request: object expected as reply markup'}
2026-07-28 14:19:33,809 | INFO    | main         | → در گروه قرار گرفت: Arne Slot provides injury update ahead of Premier League opener
2026-07-28 14:19:34,809 | INFO    | main         | خبرهای نمونه ارسال شدند. برای تست دکمه‌ها ربات را با python main.py روشن نگه دار.
2026-07-28 14:38:58,715 | INFO    | main         | متصل شد به @lfc_test_1_bot | حالت انتشار: manual
2026-07-28 14:38:58,715 | INFO    | main         | ترجمه: Liverpool are working on Bradley Barcola deal
2026-07-28 14:39:06,714 | INFO    | main         | → در گروه قرار گرفت: Liverpool are working on Bradley Barcola deal
2026-07-28 14:39:07,715 | INFO    | main         | ترجمه: Arne Slot provides injury update ahead of Premier League opener
2026-07-28 14:39:17,710 | INFO    | main         | → در گروه قرار گرفت: Arne Slot provides injury update ahead of Premier League opener
2026-07-28 14:39:18,717 | INFO    | main         | خبرهای نمونه ارسال شدند. برای تست دکمه‌ها ربات را با python main.py روشن نگه دار.
2026-07-28 14:42:27,446 | INFO    | main         | متصل شد به @lfc_test_1_bot | حالت انتشار: manual
2026-07-28 14:42:27,449 | INFO    | main         | سرویس فعال شد — چک منابع هر 60 ثانیه
2026-07-28 14:42:42,922 | WARNING | src.base     | GET https://rsshub.app/twitter/user/FabrizioRomano -> 404
2026-07-28 14:42:54,715 | WARNING | src.base     | GET https://nitter.privacydev.net/FabrizioRomano/rss failed: HTTPSConnectionPool(host='nitter.privacydev.net', port=443): Max retries exceeded with url: /FabrizioRomano/rss (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'nitter.privacydev.net'. (_ssl.c:1032)")))
2026-07-28 14:42:58,914 | INFO    | main         | ترجمه: Liverpool are working on Bradley Barcola deal
2026-07-28 14:43:03,152 | WARNING | src.base     | GET https://nitter.poast.org/FabrizioRomano/rss -> 403
2026-07-28 14:43:07,762 | ERROR   | src.romano   | هیچ فیدی برای رومانو جواب نداد — ROMANO_FEEDS را بررسی کنید
2026-07-28 14:43:07,764 | INFO    | main         | جمع‌آوری شد: 5 آیتم
2026-07-28 14:43:08,073 | INFO    | main         | ترجمه: Live gallery: Cody Gakpo and Virgil van Dijk report for pre-season at 
2026-07-28 14:43:13,470 | INFO    | main         | → در گروه قرار گرفت: Liverpool are working on Bradley Barcola deal
2026-07-28 14:43:23,412 | INFO    | main         | → در گروه قرار گرفت: Live gallery: Cody Gakpo and Virgil van Dijk report for pre-season at 
2026-07-28 14:43:25,413 | INFO    | main         | ترجمه: Watch all of Leanne Kiernan's goals for Liverpool FC Women - Liverpool
2026-07-28 14:43:33,923 | INFO    | main         | → در گروه قرار گرفت: Watch all of Leanne Kiernan's goals for Liverpool FC Women - Liverpool
2026-07-28 14:43:35,925 | INFO    | main         | ترجمه: Leanne Kiernan completes permanent move to Newcastle United - Liverpoo
2026-07-28 14:43:43,818 | INFO    | main         | → در گروه قرار گرفت: Leanne Kiernan completes permanent move to Newcastle United - Liverpoo
2026-07-28 14:43:45,820 | INFO    | main         | ترجمه: We Love You Liverpool: Meet Official LFC Supporters Club... New York -
2026-07-28 14:43:58,116 | INFO    | main         | → در گروه قرار گرفت: We Love You Liverpool: Meet Official LFC Supporters Club... New York -
2026-07-28 14:44:00,117 | INFO    | main         | ترجمه: Liverpool FC Women set to compete in revamped Subway Players Cup - Liv
